contracts,Order No.,Direction,Order Type,Filled Qty,Filled Price,Order Price,Filled Type,Trading Fee Rate,Fees Paid,Trasaction ID,Transaction Time(UTC+0)
SOLAYERUSDT, 027cd632,SELL,Market,129.0,1.0903,0.9826,Trade,5.5E-4,0.07735679, c7944fa1,09:12 2025-05-23
SOLAYERUSDT, 027cd632,SELL,Market,147.0,1.0903,0.9826,Trade,5.5E-4,0.08815076, b864cf62,09:12 2025-05-23
SOLAYERUSDT, 027cd632,SELL,Market,96.0,1.0904,0.9826,Trade,5.5E-4,0.05757312, b842a4cf,09:12 2025-05-23
SOLAYERUSDT, ccbf8a72,BUY,Market,42.0,1.0974,1.207,Trade,5.5E-4,0.02534994, e9562566,09:10 2025-05-23
SOLAYERUSDT, ccbf8a72,BUY,Market,98.0,1.0974,1.207,Trade,5.5E-4,0.05914986, 3fbf3737,09:10 2025-05-23
SOLAYERUSDT, ccbf8a72,BUY,Market,10.0,1.0973,1.207,Trade,5.5E-4,0.00603515, 58e6d486,09:10 2025-05-23
SOLAYERUSDT, ccbf8a72,BUY,Market,124.0,1.0973,1.207,Trade,5.5E-4,0.07483586, ebc1b25e,09:10 2025-05-23
SOLAYERUSDT, ccbf8a72,BUY,Market,98.0,1.0973,1.207,Trade,5.5E-4,0.05914447, af8e20d3,09:10 2025-05-23
