TICKET,TRANSACTION DATE,TRANSACTION TYPE,DETAILS,INSTRUMENT,PRICE,UNITS,DIRECTION,SPREAD COST,STOP LOSS,GUARANTEED STOP LOSS,TAKE PROFIT,TRAILING STOP,FINANCING,COMMISSION,GSL FEE,GSL PREMIUM,CONVERSION RATE,PL,AMOUNT,BALANCE
440,2025-09-18 17:33:04 AEST,MARKET_ORDER,CLIENT_ORDER,XAU_USD,,3.00,Buy,,3649.32600,,3655.96800,,,,,,,,,
441,2025-09-18 17:33:04 AEST,ORDER_FILL,MARKET_ORDER,XAU_USD,3652.02500,3.00,Buy,1.2202,,,,,0.00000,0.0000,0.0000,0.0000,,0.00000,,1498.34
442,2025-09-18 17:33:04 AEST,TAKE_PROFIT_ORDER,ON_FILL,,3655.96800,,,,,,,,,,,,,,,
443,2025-09-18 17:33:04 AEST,STOP_LOSS_ORDER,ON_FILL,,3649.32600,,,,,,,,,,,,,,,
444,2025-09-18 17:42:32 AEST,ORDER_FILL,TAKE_PROFIT_ORDER,XAU_USD,3655.98500,3.00,Sell,1.1740,,,,,0.00000,0.0000,0.0000,,,17.79170,,1516.13
445,2025-09-18 17:42:32 AEST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,,
