contracts,Order No.,Direction,Order Type,Filled Qty,Filled Price,Order Price,Filled Type,Trading Fee Rate,Fees Paid,Trasaction ID,Transaction Time(UTC+10)
ENAUSDT,88964601-f044-45d0-a2a5-5b6dd5b2828a,SELL,Market,92,0.4284,0.386,Trade,0.00055,0.02167704,620837e6-9f7f-5b71-82fa-b552ab772011,16:43 2025-07-24
ENAUSDT,6c6c7026-6713-4c71-9aab-9181b523228a,BUY,--,92,0.4755,0,Funding,-0.000262,-0.01148639,e79252f8-ce24-464d-a22e-ebc999542136,14:00 2025-07-24
ENAUSDT,6b021a5a-8a11-4dc0-b450-80a49e7a52bb,BUY,--,92,0.46,0,Funding,0.00005,0.002116,9130a5f6-6331-4ce8-90d9-7f0edf20a395,10:00 2025-07-24
ENAUSDT,293dac2c-f5ca-498a-8202-020b7bb400aa,BUY,--,92,0.466,0,Funding,-0.000014,-0.00063108,4a62c498-46f5-484a-a8d8-8bbf468cdec5,06:00 2025-07-24
ENAUSDT,f9198ea6-d4b6-4fd7-abfe-37ab63a0d10a,BUY,--,92,0.4676,0,Funding,0.00005,0.00215096,aae27015-0b5b-4944-a6b7-5acc0621bf93,02:00 2025-07-24
ENAUSDT,f843c83f-a3c3-45ca-9fe0-a6a074e1e18b,BUY,Market,92,0.454,0.4998,Trade,0.00055,0.0229724,fbdd73e2-4e7d-5546-a92d-f1578ce3f099,23:39 2025-07-23
